index	message
1	I'm quite sorry, I didn't quite get what you mean.
2	I dont understand. Can you rephrase?
3	Ehh... are you talking human?
4	That's unparseable. Would you like to rephrase?
5	I'm sorry. I don't quite understand
6	I'm confused.
7	I'm a little confused by your words
8	Can you please paraphrase that?
9	Umm... my brain isn't working. Type something else please
10	That's too difficult to understand. Simple english!!
