index	message
1	Aww it's been nice talking to you. See you!
2	Goodbye mate!
3	You're goin already? Ok :( Bye....
4	Byeeeeeeee *waves*
5	Here's a bye from me too! :D
6	Bye, love <3
7	Have a lovely day!
8	It's been fun. Let's do this again!
9	That was a nice chat. Cya~
10	Tatas!
